procedure_name_en,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,instance_year,instance_month,instance_day,meter_sale_price,procedure_area_clipped
Sell,1,Land,60.0,Unknown,Residential,1,Existing Properties,357,AL TWAR FIFTH,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Al Qusais Metro Station,City Centre Mirdif,Unknown,0,1532.9,1.0,1.0,0.0,2020.0,3.0,24.0,1826.6,1532.9
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,YACHT BAY,1046.0,Unknown,Dubai Marina,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,74.42,1.0,1.0,0.0,2015.0,6.0,22.0,8566.65,74.42
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,DEC TOWERS T2,1046.0,Unknown,Dubai Marina,Sports City Swimming Academy,Jumeirah Beach Residency,Marina Mall,1 B/R,1,76.5,1.0,1.0,0.0,2015.0,6.0,22.0,10457.52,76.5
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,351,Al Thanyah Third,AL GHOZLAN 4,1046.0,Unknown,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,1 B/R,1,71.05,1.0,2.0,0.0,2015.0,6.0,22.0,11752.29,71.05
Sell,2,Building,60.0,Unknown,Residential,1,Existing Properties,264,Nad Al Hamar,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Unknown,0,1546.65,1.0,1.0,0.0,2007.0,4.0,23.0,1745.71,1546.65
Sell,2,Building,60.0,Unknown,Residential / Commercial,1,Existing Properties,233,Hor Al Anz,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Abu Baker Al Siddique Metro Station,City Centre Mirdif,Unknown,0,221.48,9.0,1.0,0.0,2005.0,4.0,25.0,5869.6,221.48
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Jumeirah Gate Tower 1,1790.0,Jumeirah Gate,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Residency,Marina Mall,2 B/R,1,111.81,1.0,1.0,0.0,2015.0,6.0,22.0,19676.24,111.81
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,AL SEEF 1,42.0,ALSEEF I,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,3 B/R,1,330.15,2.0,1.0,0.0,2012.0,7.0,16.0,13478.72,330.15
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,BERMUDA VIEWS,616.0,BERMUDA VIEWS,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,86.9,1.0,1.0,0.0,2014.0,3.0,19.0,10399.48,86.9
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,304,Um Suqaim Second,Unknown,1046.0,Unknown,Unknown,Burj Al Arab,Noor Bank Metro Station,Mall of the Emirates,Unknown,0,594.58,1.0,1.0,0.0,2015.0,6.0,22.0,15977.66,594.58
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,RIVIERA LAKE VIEW,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,1 B/R,1,45.34,1.0,1.0,0.0,2015.0,6.0,22.0,8270.84,45.34
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,Burj ViewsTower A,1451.0,BURJ VIEWS,DownTown Dubai,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,72.74,1.0,1.0,0.0,2025.0,6.0,20.0,22614.79,72.74
