procedure_name_en,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,instance_year,instance_month,instance_day,meter_sale_price,procedure_area_clipped
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,E-05,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,Studio,0,44.61,1.0,2.0,0.0,2008.0,5.0,19.0,5492.04,44.61
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,368,Al Barsha First,API - Barsha Residential Tower,3417.0,API- Barsha Residential Tower,Unknown,Burj Al Arab,Sharaf Dg Metro Station,Mall of the Emirates,3 B/R,1,170.75,1.0,1.0,0.0,2025.0,8.0,28.0,18256.98,170.75
Sell,3,Unit,101.0,Hotel Apartment,Hospitality ,1,Existing Properties,390,Burj Khalifa,Address Residences Sky View,1338.0,THE ADDRESS RESIDENCE - SKY VIEW,DownTown Dubai,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,3 B/R,1,171.92,1.0,1.0,0.0,2021.0,1.0,13.0,19427.64,171.92
Sell,4,Villa,4.0,Villa,Residential,1,Existing Properties,351,Al Thanyah Third,Unknown,1062.0,The Lakes Zulal,Unknown,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,3 B/R,0,217.52,2.0,2.0,0.0,2009.0,5.0,18.0,9503.99,217.52
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,EMIRATES CROWN TOWER,1046.0,Unknown,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,3 B/R,1,360.53,1.0,1.0,0.0,2025.0,9.0,25.0,14423.22,360.53
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,Y-22,1046.0,Unknown,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Studio,0,45.0,1.0,1.0,0.0,2014.0,6.0,23.0,8444.44,45.0
Sell,1,Land,60.0,Unknown,Residential / Commercial,1,Existing Properties,368,Al Barsha First,Unknown,1046.0,Unknown,Unknown,Burj Al Arab,Sharaf Dg Metro Station,Mall of the Emirates,Unknown,0,1393.54,5.0,2.0,0.0,2015.0,6.0,22.0,2152.79,1393.54
Sell,4,Villa,4.0,Villa,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1032.0,Emirates Living - Springs 2,Springs - 7,Sports City Swimming Academy,Damac Properties,Marina Mall,3 B/R,0,345.29,1.0,1.0,0.0,2011.0,8.0,25.0,6125.29,345.29
Delayed Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Delphine W3,1046.0,Unknown,Dubai Marina,Burj Al Arab,Jumeirah Beach Residency,Marina Mall,2 B/R,1,138.98,1.0,1.0,0.0,2012.0,7.0,17.0,25568.43,138.98
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1046.0,Unknown,Meadows 5,Sports City Swimming Academy,Damac Properties,Marina Mall,Unknown,0,659.8,2.0,1.0,0.0,2022.0,6.0,15.0,12276.45,659.8
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,232,Mirdif,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Unknown,0,929.03,1.0,1.0,0.0,1998.0,6.0,22.0,398.26,929.03
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,368,Al Barsha First,AL MURAD TOWERS,1046.0,Unknown,Unknown,Burj Al Arab,Sharaf Dg Metro Station,Mall of the Emirates,Studio,1,53.48,1.0,1.0,0.0,2015.0,6.0,22.0,15349.44,53.48
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Le Reve,1046.0,Unknown,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,3 B/R,1,585.1,1.0,1.0,0.0,2024.0,6.0,13.0,26491.2,585.1
Sell,4,Villa,4.0,Villa,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1032.0,Emirates Living - Springs 2,Springs - 7,Sports City Swimming Academy,Damac Properties,Marina Mall,3 B/R,0,254.27,2.0,1.0,0.0,2015.0,6.0,22.0,14256.5,254.27
Delayed Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,OCEAN HEIGHTS,431.0,OCEAN HEIGHTS,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,3 B/R,1,213.03,1.0,1.0,0.0,2011.0,11.0,23.0,23056.94,213.03
Delayed Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,351,Al Thanyah Third,ALJAZ 2,1046.0,Unknown,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,3 B/R,1,153.48,1.0,2.0,0.0,2012.0,10.0,24.0,4338.02,153.48
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Al Majara 1,1046.0,Unknown,Dubai Marina,Burj Al Arab,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,147.81,1.0,1.0,0.0,2022.0,11.0,29.0,12516.07,147.81
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,AMAL TOWER,591.0,AMAL TOWER,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,42.24,1.0,1.0,0.0,2022.0,2.0,28.0,7386.36,42.24
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,232,Mirdif,Multaqa Avenue 4,1835.0,MIRDIF HILLS- AL MULTAQA AVENUE,Unknown,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Studio,1,48.84,1.0,1.0,0.0,2015.0,6.0,22.0,13402.42,48.84
Lease to Own Registration,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,P-08,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,69.0,2.0,2.0,2.0,2015.0,6.0,22.0,7101.45,69.0
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,U-02,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,Studio,0,45.0,1.0,1.0,0.0,2017.0,9.0,18.0,6666.67,45.0
Sell,2,Building,60.0,Unknown,Residential,1,Existing Properties,435,Al Hebiah Fourth,Unknown,1300.0,HOCKEY TOWER,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Unknown,0,3102.31,1.0,1.0,0.0,2009.0,3.0,30.0,2463.18,2189.4440000000054
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,DEC TOWERS T1,1046.0,Unknown,Dubai Marina,Sports City Swimming Academy,Jumeirah Beach Residency,Marina Mall,1 B/R,1,88.07,2.0,2.0,0.0,2015.0,6.0,22.0,7696.38,88.07
